004067B5        ___unlock_14                                 
004067C1        __setmbcp_lk                                 
00406951        __setmbcp                                    
00406A98        ___unlock_13                                 
00406AA1        ___initmbctable                              
00406ABF        _free                                        
00406B12        ___unlock_12                                 
00406B30        __heap_alloc                                 
00406B9F        ___unlock_11                                 
00406BAB        __nh_malloc                                  
00406BD7        _malloc                                      
00406BF0        _memcpy                                      
00406C2C        CopyLeadUp                                   
00406C4C        CopyUnwindUp                                 
00406C60        LeadUp1                                      
00406C8C        LeadUp2                                      
00406CB0        LeadUp3                                      
00406CF0        UnwindUp7                                    
00406D4C        TrailUp0                                     
00406D54        TrailUp1                                     
00406D60        TrailUp2                                     
00406D74        TrailUp3                                     
00406D8C        CopyDown                                     
00406DB4        CopyUnwindDown                               
00406F2D        __crtInitCritSecNoSpinCount(x,x)             
00406F3D        ___crtInitCritSecAndSpinCount                
00406FC8        _calloc                                      
0040706F        ___unlock_10                                 
00407083        ___freetlocinfo                              
00407153        ___updatetlocinfo_lk                         
00407214        ___updatetlocinfo                            
00407246        ___unlock_9                                  
0040724F        ___sbh_heap_init                             
00407297        ___sbh_find_block                            
004072C2        ___sbh_free_block                            
004075DA        ___sbh_alloc_new_region                      
00407691        ___sbh_alloc_new_group                       
00407797        ___sbh_resize_block                          
00407A76        ___sbh_alloc_block                           
00407D74        __global_unwind2                             
00407D94        __unwind_handler                             
00407DB6        __local_unwind2                              
00407E1E        __abnormal_termination                       
00407E41        __NLG_Notify1                                
00407E4A        __NLG_Notify                                 
00407E62        __ValidateEH3RN                              
0040808B        __errno                                      
00408094        ___doserrno                                  
0040809D        __dosmaperr                                  
00408110        _realloc                                     
00408270        ___unlock_8                                  
004082BD        __msize                                      
00408327        ___unlock_7                                  
00408333        ___security_init_cookie                      
00408399        ___security_error_handler                    
004084E1        ___crtLCMapStringA                           
0040889D        ___crtGetStringTypeA                         
00408A57        __callnewh                                   
00408A80        _memset                                      
00408AE0        __free_lc_time                               
00408C70        ___free_lconv_num                            
00408CCF        ___free_lconv_mon                            
00408DB0        _strcspn                                     
00408E00        _strcmp                                      
00408E90        _memcmp                                      
00408F50        _strncmp                                     
00408F90        _strpbrk                                     
00408FD0        _memcpy_0                                    
0040900C        CopyLeadUp_0                                 
00409040        LeadUp1_0                                    
0040906C        LeadUp2_0                                    
00409090        LeadUp3_0                                    
004090D0        UnwindUp7_0                                  
0040912C        TrailUp0_0                                   
00409134        TrailUp1_0                                   
00409140        TrailUp2_0                                   
00409154        TrailUp3_0                                   
00409194        CopyUnwindDown_0                             
0040930D        ___ansicp                                    
00409350        ___convertcp                                 
00409519        __resetstkoflw                               
004095FC        __tzset_lk                                   
00409812        ___unlock_4                                  
004098A4        _cvtdate                                     
00409A5C        __isindst_lk                                 
00409BE3        ___tzset                                     
00409C26        ___unlock_5                                  
00409C2F        __isindst                                    
00409C64        ___unlock_6                                  
00409C70        ___ascii_stricmp                             
00409CBE        __stricmp                                    
00409D27        _atol                                        
00409DAF        __strnicmp                                   
00409E2E        _getenv                                      
00409EAF        _isalpha                                     
00409EEE        _isdigit                                     
00409F28        _isspace                                     
00409F62        _isprint                                     
00409FA1        ___tolower_mt                                
0040A069        _tolower                                     
0040A08B        ___isctype_mt                                
0040A110        __allmul                                     
0040A150        ___ascii_strnicmp                            
0040A1C0        __aulldvrm                                   
0040A255        __mbsnbicoll                                 
0040A2A3        ___wtomb_environ                             
0040A333        _strncnt                                     
0040A34F        ___crtCompareStringA                         
0040A6D3        _findenv                                     
0040A720        _copy_environ                                
0040A781        ___crtsetenv                                 
0040A956        __strdup                                     
0040A981        __mbschr                                     
0040AA10        _strchr                                      
0040AACE        RtlUnwind                                    
0040AAE0        sub_40AAE0                                   
0040ABBE        pal0_0                                       
0040AD04        sub_40AD04                                   
0040AE63        sub_40AE63                                   
0040AFD5        sub_40AFD5                                   
0040B155        pal3_0                                       
0040B2D3        pal8_0                                       
0040B441        sub_40B441                                   
0040B596        pal9_0                                       
0040B6F0        pal10_0                                      
0040B824        sub_40B824                                   
0040B9A9        pal3_1                                       
0040BB2E        pal8_1                                       
0040BCA3        pal9_1                                       
0040BE04        sub_40BE04                                   
0040BF60        pal0_1                                       
0040C0AE        pal10_1                                      
0040C200        sub_40C200                                   
0040C253        sub_40C253                                   
0040C2BD        sub_40C2BD                                   
0040C300        sub_40C300                                   
0040C360        sub_40C360                                   
0040C3B0        sub_40C3B0                                   
0040C4D2        sub_40C4D2                                   
0040C530        _strrchr                                     
0040C55D        type_info::~type_info(void)                  
0040C59A        ___unlock_3                                  
0040C5A3        type_info::`scalar deleting destructor'(uint)
0040C5BF        getAUName                                    
0040C5C3        _strtoxl                                     
0040C782        _strtol                                      
0040C799        _strtoul                                     
0040C7B0        _srand                                       
0040C7BD        _rand                                        
0040C7DF        _time                                        
0040C818        ctrlevent_capture(x)                         
0040C884        ___unlock_2                                  
0040C8A7        _siglookup                                   
0040C8D5        _signal                                      
0040CA6D        ___unlock_22                                 
0040CA76        _strtok                                      
0040CB2B        __mbsicmp                                    
0040CC76        __endthreadex                                
0040CCA7        _threadstartex(x)                            
0040CD30        ___exit                                      
0040CD3C        __beginthreadex                              
0040CDC7        localAscTime                                 
0040CDE0        __wcsicmp                                    
0040CE8D        __ismbcspace                                 
0040CF11        __mbsrchr                                    
0040CF80        _shortsort                                   
0040CFF0        _qsort                                       
0040D273        ___mbspbrk_mt                                
0040D2EF        __mbspbrk                                    
0040D316        __mbsstr                                     
0040D3C8        __fsopen                                     
0040D41A        ___unlock_file                               
0040D424        _fopen                                       
0040D437        __fclose_lk                                  
0040D483        _fclose                                      
0040D4C9        ___unlock_file2_0                            
0040D4D4        _localtime                                   
0040D660        __aulldiv                                    
0040D6C8        _asctime                                     
0040D7D3        ___towlower_mt                               
0040D840        _strstr                                      
0040D8C6        ___initstdio                                 
0040D96F        ___endstdio                                  
0040D983        __lock_file                                  
0040D9B2        __lock_file2                                 
0040D9D5        __unlock_file                                
0040DA04        __unlock_file2                               
0040DA27        __openfile                                   
0040DB8F        __getstream                                  
0040DCA5        ___unlock_1                                  
0040DCB1        __close_lk                                   
0040DD34        __close                                      
0040DDA8        ___unlock_fhandle                            
0040DDCF        __freebuf                                    
0040DDFA        __flush                                      
0040DE57        __fflush_lk                                  
0040DE85        _flsall                                      
0040DF20        ___unlock_file2                              
0040DF51        ___unlock_0                                  
0040DF5A        __flushall                                   
0040DF63        _gmtime                                      
0040E06A        _write_char                                  
0040E09D        _write_multi_char                            
0040E0C1        _write_string                                
0040E0F8        __output                                     
0040E8F2        ___crtLCMapStringW                           
0040EB4B        ___iswctype_mt                               
0040EBA2        __fcloseall                                  
0040EC34        ___unlock                                    
0040EC3D        __tsopen_lk                                  
0040EF24        __sopen                                      
0040EF69        ___unlock_fhandle_0                          
0040EF79        __set_osfhnd                                 
0040EFF5        __free_osfhnd                                
0040F074        __get_osfhandle                              
0040F0B5        __lock_fhandle                               
0040F149        ___unlock_19                                 
